Time,Status,raceId
0 days 00:00:04.851000,Inactive,2018r1q
0 days 00:04:00.052000,Started,2018r1q
0 days 00:22:00.050000,Finished,2018r1q
0 days 00:27:12.274000,Inactive,2018r1q
0 days 00:29:00.327000,Started,2018r1q
0 days 00:44:00.112000,Finished,2018r1q
0 days 00:50:10.058000,Inactive,2018r1q
0 days 00:52:00.125000,Started,2018r1q
0 days 00:54:13.864000,Aborted,2018r1q
0 days 01:02:37.095000,Inactive,2018r1q
0 days 01:04:00.042000,Started,2018r1q
0 days 01:13:47.041000,Finished,2018r1q
0 days 01:17:52.554000,Finalised,2018r1q
0 days 01:17:52.554000,Ends,2018r1q
0 days 00:00:04.851000,Inactive,2018r2q
0 days 00:04:00.052000,Started,2018r2q
0 days 00:22:00.050000,Finished,2018r2q
0 days 00:27:12.274000,Inactive,2018r2q
0 days 00:29:00.327000,Started,2018r2q
0 days 00:44:00.112000,Finished,2018r2q
0 days 00:50:10.058000,Inactive,2018r2q
0 days 00:52:00.125000,Started,2018r2q
0 days 00:54:13.864000,Aborted,2018r2q
0 days 01:02:37.095000,Inactive,2018r2q
0 days 01:04:00.042000,Started,2018r2q
0 days 01:13:47.041000,Finished,2018r2q
0 days 01:17:52.554000,Finalised,2018r2q
0 days 01:17:52.554000,Ends,2018r2q
0 days 00:00:04.851000,Inactive,2018r3q
0 days 00:04:00.052000,Started,2018r3q
0 days 00:22:00.050000,Finished,2018r3q
0 days 00:27:12.274000,Inactive,2018r3q
0 days 00:29:00.327000,Started,2018r3q
0 days 00:44:00.112000,Finished,2018r3q
0 days 00:50:10.058000,Inactive,2018r3q
0 days 00:52:00.125000,Started,2018r3q
0 days 00:54:13.864000,Aborted,2018r3q
0 days 01:02:37.095000,Inactive,2018r3q
0 days 01:04:00.042000,Started,2018r3q
0 days 01:13:47.041000,Finished,2018r3q
0 days 01:17:52.554000,Finalised,2018r3q
0 days 01:17:52.554000,Ends,2018r3q
0 days 00:00:04.851000,Inactive,2018r4q
0 days 00:04:00.052000,Started,2018r4q
0 days 00:22:00.050000,Finished,2018r4q
0 days 00:27:12.274000,Inactive,2018r4q
0 days 00:29:00.327000,Started,2018r4q
0 days 00:44:00.112000,Finished,2018r4q
0 days 00:50:10.058000,Inactive,2018r4q
0 days 00:52:00.125000,Started,2018r4q
0 days 00:54:13.864000,Aborted,2018r4q
0 days 01:02:37.095000,Inactive,2018r4q
0 days 01:04:00.042000,Started,2018r4q
0 days 01:13:47.041000,Finished,2018r4q
0 days 01:17:52.554000,Finalised,2018r4q
0 days 01:17:52.554000,Ends,2018r4q
0 days 00:00:04.851000,Inactive,2018r5q
0 days 00:04:00.052000,Started,2018r5q
0 days 00:22:00.050000,Finished,2018r5q
0 days 00:27:12.274000,Inactive,2018r5q
0 days 00:29:00.327000,Started,2018r5q
0 days 00:44:00.112000,Finished,2018r5q
0 days 00:50:10.058000,Inactive,2018r5q
0 days 00:52:00.125000,Started,2018r5q
0 days 00:54:13.864000,Aborted,2018r5q
0 days 01:02:37.095000,Inactive,2018r5q
0 days 01:04:00.042000,Started,2018r5q
0 days 01:13:47.041000,Finished,2018r5q
0 days 01:17:52.554000,Finalised,2018r5q
0 days 01:17:52.554000,Ends,2018r5q
0 days 00:00:04.851000,Inactive,2018r6q
0 days 00:04:00.052000,Started,2018r6q
0 days 00:22:00.050000,Finished,2018r6q
0 days 00:27:12.274000,Inactive,2018r6q
0 days 00:29:00.327000,Started,2018r6q
0 days 00:44:00.112000,Finished,2018r6q
0 days 00:50:10.058000,Inactive,2018r6q
0 days 00:52:00.125000,Started,2018r6q
0 days 00:54:13.864000,Aborted,2018r6q
0 days 01:02:37.095000,Inactive,2018r6q
0 days 01:04:00.042000,Started,2018r6q
0 days 01:13:47.041000,Finished,2018r6q
0 days 01:17:52.554000,Finalised,2018r6q
0 days 01:17:52.554000,Ends,2018r6q
0 days 00:00:04.851000,Inactive,2018r7q
0 days 00:04:00.052000,Started,2018r7q
0 days 00:22:00.050000,Finished,2018r7q
0 days 00:27:12.274000,Inactive,2018r7q
0 days 00:29:00.327000,Started,2018r7q
0 days 00:44:00.112000,Finished,2018r7q
0 days 00:50:10.058000,Inactive,2018r7q
0 days 00:52:00.125000,Started,2018r7q
0 days 00:54:13.864000,Aborted,2018r7q
0 days 01:02:37.095000,Inactive,2018r7q
0 days 01:04:00.042000,Started,2018r7q
0 days 01:13:47.041000,Finished,2018r7q
0 days 01:17:52.554000,Finalised,2018r7q
0 days 01:17:52.554000,Ends,2018r7q
0 days 00:00:04.851000,Inactive,2018r8q
0 days 00:04:00.052000,Started,2018r8q
0 days 00:22:00.050000,Finished,2018r8q
0 days 00:27:12.274000,Inactive,2018r8q
0 days 00:29:00.327000,Started,2018r8q
0 days 00:44:00.112000,Finished,2018r8q
0 days 00:50:10.058000,Inactive,2018r8q
0 days 00:52:00.125000,Started,2018r8q
0 days 00:54:13.864000,Aborted,2018r8q
0 days 01:02:37.095000,Inactive,2018r8q
0 days 01:04:00.042000,Started,2018r8q
0 days 01:13:47.041000,Finished,2018r8q
0 days 01:17:52.554000,Finalised,2018r8q
0 days 01:17:52.554000,Ends,2018r8q
0 days 00:00:04.851000,Inactive,2018r9q
0 days 00:04:00.052000,Started,2018r9q
0 days 00:22:00.050000,Finished,2018r9q
0 days 00:27:12.274000,Inactive,2018r9q
0 days 00:29:00.327000,Started,2018r9q
0 days 00:44:00.112000,Finished,2018r9q
0 days 00:50:10.058000,Inactive,2018r9q
0 days 00:52:00.125000,Started,2018r9q
0 days 00:54:13.864000,Aborted,2018r9q
0 days 01:02:37.095000,Inactive,2018r9q
0 days 01:04:00.042000,Started,2018r9q
0 days 01:13:47.041000,Finished,2018r9q
0 days 01:17:52.554000,Finalised,2018r9q
0 days 01:17:52.554000,Ends,2018r9q
0 days 00:00:04.851000,Inactive,2018r10q
0 days 00:04:00.052000,Started,2018r10q
0 days 00:22:00.050000,Finished,2018r10q
0 days 00:27:12.274000,Inactive,2018r10q
0 days 00:29:00.327000,Started,2018r10q
0 days 00:44:00.112000,Finished,2018r10q
0 days 00:50:10.058000,Inactive,2018r10q
0 days 00:52:00.125000,Started,2018r10q
0 days 00:54:13.864000,Aborted,2018r10q
0 days 01:02:37.095000,Inactive,2018r10q
0 days 01:04:00.042000,Started,2018r10q
0 days 01:13:47.041000,Finished,2018r10q
0 days 01:17:52.554000,Finalised,2018r10q
0 days 01:17:52.554000,Ends,2018r10q
0 days 00:00:04.851000,Inactive,2018r11q
0 days 00:04:00.052000,Started,2018r11q
0 days 00:22:00.050000,Finished,2018r11q
0 days 00:27:12.274000,Inactive,2018r11q
0 days 00:29:00.327000,Started,2018r11q
0 days 00:44:00.112000,Finished,2018r11q
0 days 00:50:10.058000,Inactive,2018r11q
0 days 00:52:00.125000,Started,2018r11q
0 days 00:54:13.864000,Aborted,2018r11q
0 days 01:02:37.095000,Inactive,2018r11q
0 days 01:04:00.042000,Started,2018r11q
0 days 01:13:47.041000,Finished,2018r11q
0 days 01:17:52.554000,Finalised,2018r11q
0 days 01:17:52.554000,Ends,2018r11q
0 days 00:00:04.851000,Inactive,2018r12q
0 days 00:04:00.052000,Started,2018r12q
0 days 00:22:00.050000,Finished,2018r12q
0 days 00:27:12.274000,Inactive,2018r12q
0 days 00:29:00.327000,Started,2018r12q
0 days 00:44:00.112000,Finished,2018r12q
0 days 00:50:10.058000,Inactive,2018r12q
0 days 00:52:00.125000,Started,2018r12q
0 days 00:54:13.864000,Aborted,2018r12q
0 days 01:02:37.095000,Inactive,2018r12q
0 days 01:04:00.042000,Started,2018r12q
0 days 01:13:47.041000,Finished,2018r12q
0 days 01:17:52.554000,Finalised,2018r12q
0 days 01:17:52.554000,Ends,2018r12q
0 days 00:00:04.851000,Inactive,2018r13q
0 days 00:04:00.052000,Started,2018r13q
0 days 00:22:00.050000,Finished,2018r13q
0 days 00:27:12.274000,Inactive,2018r13q
0 days 00:29:00.327000,Started,2018r13q
0 days 00:44:00.112000,Finished,2018r13q
0 days 00:50:10.058000,Inactive,2018r13q
0 days 00:52:00.125000,Started,2018r13q
0 days 00:54:13.864000,Aborted,2018r13q
0 days 01:02:37.095000,Inactive,2018r13q
0 days 01:04:00.042000,Started,2018r13q
0 days 01:13:47.041000,Finished,2018r13q
0 days 01:17:52.554000,Finalised,2018r13q
0 days 01:17:52.554000,Ends,2018r13q
0 days 00:00:04.851000,Inactive,2018r14q
0 days 00:04:00.052000,Started,2018r14q
0 days 00:22:00.050000,Finished,2018r14q
0 days 00:27:12.274000,Inactive,2018r14q
0 days 00:29:00.327000,Started,2018r14q
0 days 00:44:00.112000,Finished,2018r14q
