Time,Status,raceId
0 days 00:00:03.202000,Inactive,2018r1r
0 days 00:07:07.988000,Started,2018r1r
0 days 01:36:41.572000,Finished,2018r1r
0 days 01:51:27.397000,Finalised,2018r1r
0 days 01:51:27.397000,Ends,2018r1r
0 days 00:00:03.202000,Inactive,2018r2r
0 days 00:07:07.988000,Started,2018r2r
0 days 01:36:41.572000,Finished,2018r2r
0 days 01:51:27.397000,Finalised,2018r2r
0 days 01:51:27.397000,Ends,2018r2r
0 days 00:00:03.202000,Inactive,2018r3r
0 days 00:07:07.988000,Started,2018r3r
0 days 01:36:41.572000,Finished,2018r3r
0 days 01:51:27.397000,Finalised,2018r3r
0 days 01:51:27.397000,Ends,2018r3r
0 days 00:00:03.202000,Inactive,2018r4r
0 days 00:07:07.988000,Started,2018r4r
0 days 01:36:41.572000,Finished,2018r4r
0 days 01:51:27.397000,Finalised,2018r4r
0 days 01:51:27.397000,Ends,2018r4r
0 days 00:00:03.202000,Inactive,2018r5r
0 days 00:07:07.988000,Started,2018r5r
0 days 01:36:41.572000,Finished,2018r5r
0 days 01:51:27.397000,Finalised,2018r5r
0 days 01:51:27.397000,Ends,2018r5r
0 days 00:00:03.202000,Inactive,2018r6r
0 days 00:07:07.988000,Started,2018r6r
0 days 01:36:41.572000,Finished,2018r6r
0 days 01:51:27.397000,Finalised,2018r6r
0 days 01:51:27.397000,Ends,2018r6r
0 days 00:00:03.202000,Inactive,2018r7r
0 days 00:07:07.988000,Started,2018r7r
0 days 01:36:41.572000,Finished,2018r7r
0 days 01:51:27.397000,Finalised,2018r7r
0 days 01:51:27.397000,Ends,2018r7r
0 days 00:00:03.202000,Inactive,2018r8r
0 days 00:07:07.988000,Started,2018r8r
0 days 01:36:41.572000,Finished,2018r8r
0 days 01:51:27.397000,Finalised,2018r8r
0 days 01:51:27.397000,Ends,2018r8r
0 days 00:00:03.202000,Inactive,2018r9r
0 days 00:07:07.988000,Started,2018r9r
0 days 01:36:41.572000,Finished,2018r9r
0 days 01:51:27.397000,Finalised,2018r9r
0 days 01:51:27.397000,Ends,2018r9r
0 days 00:00:03.202000,Inactive,2018r10r
0 days 00:07:07.988000,Started,2018r10r
0 days 01:36:41.572000,Finished,2018r10r
0 days 01:51:27.397000,Finalised,2018r10r
0 days 01:51:27.397000,Ends,2018r10r
0 days 00:00:03.202000,Inactive,2018r11r
0 days 00:07:07.988000,Started,2018r11r
0 days 01:36:41.572000,Finished,2018r11r
0 days 01:51:27.397000,Finalised,2018r11r
0 days 01:51:27.397000,Ends,2018r11r
0 days 00:00:03.202000,Inactive,2018r12r
0 days 00:07:07.988000,Started,2018r12r
0 days 01:36:41.572000,Finished,2018r12r
0 days 01:51:27.397000,Finalised,2018r12r
0 days 01:51:27.397000,Ends,2018r12r
0 days 00:00:03.202000,Inactive,2018r13r
0 days 00:07:07.988000,Started,2018r13r
