Time,Status,Message,raceId
0 days 00:14:47.534000,2,Yellow,2018r1r
0 days 00:14:54.676000,1,AllClear,2018r1r
0 days 00:14:55.424000,2,Yellow,2018r1r
0 days 00:17:32.340000,1,AllClear,2018r1r
0 days 00:21:00.464000,2,Yellow,2018r1r
0 days 00:21:02.731000,1,AllClear,2018r1r
0 days 00:41:39.694000,2,Yellow,2018r1r
0 days 00:41:54.199000,1,AllClear,2018r1r
0 days 00:42:09.798000,2,Yellow,2018r1r
0 days 00:43:06.320000,1,AllClear,2018r1r
0 days 00:44:01.324000,2,Yellow,2018r1r
0 days 00:44:59.666000,6,VSCDeployed,2018r1r
0 days 00:49:00.615000,4,SCDeployed,2018r1r
0 days 00:57:11.990000,1,AllClear,2018r1r
0 days 00:14:47.534000,2,Yellow,2018r2r
0 days 00:14:54.676000,1,AllClear,2018r2r
0 days 00:14:55.424000,2,Yellow,2018r2r
0 days 00:17:32.340000,1,AllClear,2018r2r
0 days 00:21:00.464000,2,Yellow,2018r2r
0 days 00:21:02.731000,1,AllClear,2018r2r
0 days 00:41:39.694000,2,Yellow,2018r2r
0 days 00:41:54.199000,1,AllClear,2018r2r
0 days 00:42:09.798000,2,Yellow,2018r2r
0 days 00:43:06.320000,1,AllClear,2018r2r
0 days 00:44:01.324000,2,Yellow,2018r2r
0 days 00:44:59.666000,6,VSCDeployed,2018r2r
0 days 00:49:00.615000,4,SCDeployed,2018r2r
0 days 00:57:11.990000,1,AllClear,2018r2r
0 days 00:14:47.534000,2,Yellow,2018r3r
0 days 00:14:54.676000,1,AllClear,2018r3r
0 days 00:14:55.424000,2,Yellow,2018r3r
0 days 00:17:32.340000,1,AllClear,2018r3r
0 days 00:21:00.464000,2,Yellow,2018r3r
0 days 00:21:02.731000,1,AllClear,2018r3r
0 days 00:41:39.694000,2,Yellow,2018r3r
0 days 00:41:54.199000,1,AllClear,2018r3r
0 days 00:42:09.798000,2,Yellow,2018r3r
0 days 00:43:06.320000,1,AllClear,2018r3r
0 days 00:44:01.324000,2,Yellow,2018r3r
0 days 00:44:59.666000,6,VSCDeployed,2018r3r
0 days 00:49:00.615000,4,SCDeployed,2018r3r
0 days 00:57:11.990000,1,AllClear,2018r3r
0 days 00:14:47.534000,2,Yellow,2018r4r
0 days 00:14:54.676000,1,AllClear,2018r4r
0 days 00:14:55.424000,2,Yellow,2018r4r
0 days 00:17:32.340000,1,AllClear,2018r4r
0 days 00:21:00.464000,2,Yellow,2018r4r
0 days 00:21:02.731000,1,AllClear,2018r4r
0 days 00:41:39.694000,2,Yellow,2018r4r
0 days 00:41:54.199000,1,AllClear,2018r4r
0 days 00:42:09.798000,2,Yellow,2018r4r
0 days 00:43:06.320000,1,AllClear,2018r4r
0 days 00:44:01.324000,2,Yellow,2018r4r
0 days 00:44:59.666000,6,VSCDeployed,2018r4r
0 days 00:49:00.615000,4,SCDeployed,2018r4r
0 days 00:57:11.990000,1,AllClear,2018r4r
0 days 00:14:47.534000,2,Yellow,2018r5r
0 days 00:14:54.676000,1,AllClear,2018r5r
0 days 00:14:55.424000,2,Yellow,2018r5r
0 days 00:17:32.340000,1,AllClear,2018r5r
0 days 00:21:00.464000,2,Yellow,2018r5r
0 days 00:21:02.731000,1,AllClear,2018r5r
0 days 00:41:39.694000,2,Yellow,2018r5r
0 days 00:41:54.199000,1,AllClear,2018r5r
0 days 00:42:09.798000,2,Yellow,2018r5r
0 days 00:43:06.320000,1,AllClear,2018r5r
0 days 00:44:01.324000,2,Yellow,2018r5r
0 days 00:44:59.666000,6,VSCDeployed,2018r5r
0 days 00:49:00.615000,4,SCDeployed,2018r5r
0 days 00:57:11.990000,1,AllClear,2018r5r
0 days 00:14:47.534000,2,Yellow,2018r6r
0 days 00:14:54.676000,1,AllClear,2018r6r
0 days 00:14:55.424000,2,Yellow,2018r6r
0 days 00:17:32.340000,1,AllClear,2018r6r
0 days 00:21:00.464000,2,Yellow,2018r6r
0 days 00:21:02.731000,1,AllClear,2018r6r
0 days 00:41:39.694000,2,Yellow,2018r6r
0 days 00:41:54.199000,1,AllClear,2018r6r
0 days 00:42:09.798000,2,Yellow,2018r6r
0 days 00:43:06.320000,1,AllClear,2018r6r
0 days 00:44:01.324000,2,Yellow,2018r6r
0 days 00:44:59.666000,6,VSCDeployed,2018r6r
0 days 00:49:00.615000,4,SCDeployed,2018r6r
0 days 00:57:11.990000,1,AllClear,2018r6r
0 days 00:14:47.534000,2,Yellow,2018r7r
0 days 00:14:54.676000,1,AllClear,2018r7r
0 days 00:14:55.424000,2,Yellow,2018r7r
0 days 00:17:32.340000,1,AllClear,2018r7r
0 days 00:21:00.464000,2,Yellow,2018r7r
0 days 00:21:02.731000,1,AllClear,2018r7r
0 days 00:41:39.694000,2,Yellow,2018r7r
0 days 00:41:54.199000,1,AllClear,2018r7r
0 days 00:42:09.798000,2,Yellow,2018r7r
0 days 00:43:06.320000,1,AllClear,2018r7r
0 days 00:44:01.324000,2,Yellow,2018r7r
0 days 00:44:59.666000,6,VSCDeployed,2018r7r
0 days 00:49:00.615000,4,SCDeployed,2018r7r
0 days 00:57:11.990000,1,AllClear,2018r7r
0 days 00:14:47.534000,2,Yellow,2018r8r
0 days 00:14:54.676000,1,AllClear,2018r8r
0 days 00:14:55.424000,2,Yellow,2018r8r
0 days 00:17:32.340000,1,AllClear,2018r8r
0 days 00:21:00.464000,2,Yellow,2018r8r
0 days 00:21:02.731000,1,AllClear,2018r8r
0 days 00:41:39.694000,2,Yellow,2018r8r
0 days 00:41:54.199000,1,AllClear,2018r8r
0 days 00:42:09.798000,2,Yellow,2018r8r
0 days 00:43:06.320000,1,AllClear,2018r8r
0 days 00:44:01.324000,2,Yellow,2018r8r
0 days 00:44:59.666000,6,VSCDeployed,2018r8r
0 days 00:49:00.615000,4,SCDeployed,2018r8r
0 days 00:57:11.990000,1,AllClear,2018r8r
0 days 00:14:47.534000,2,Yellow,2018r9r
0 days 00:14:54.676000,1,AllClear,2018r9r
0 days 00:14:55.424000,2,Yellow,2018r9r
0 days 00:17:32.340000,1,AllClear,2018r9r
0 days 00:21:00.464000,2,Yellow,2018r9r
0 days 00:21:02.731000,1,AllClear,2018r9r
0 days 00:41:39.694000,2,Yellow,2018r9r
0 days 00:41:54.199000,1,AllClear,2018r9r
0 days 00:42:09.798000,2,Yellow,2018r9r
0 days 00:43:06.320000,1,AllClear,2018r9r
0 days 00:44:01.324000,2,Yellow,2018r9r
0 days 00:44:59.666000,6,VSCDeployed,2018r9r
0 days 00:49:00.615000,4,SCDeployed,2018r9r
0 days 00:57:11.990000,1,AllClear,2018r9r
0 days 00:14:47.534000,2,Yellow,2018r10r
0 days 00:14:54.676000,1,AllClear,2018r10r
0 days 00:14:55.424000,2,Yellow,2018r10r
0 days 00:17:32.340000,1,AllClear,2018r10r
0 days 00:21:00.464000,2,Yellow,2018r10r
0 days 00:21:02.731000,1,AllClear,2018r10r
0 days 00:41:39.694000,2,Yellow,2018r10r
0 days 00:41:54.199000,1,AllClear,2018r10r
0 days 00:42:09.798000,2,Yellow,2018r10r
0 days 00:43:06.320000,1,AllClear,2018r10r
0 days 00:44:01.324000,2,Yellow,2018r10r
0 days 00:44:59.666000,6,VSCDeployed,2018r10r
0 days 00:49:00.615000,4,SCDeployed,2018r10r
0 days 00:57:11.990000,1,AllClear,2018r10r
0 days 00:14:47.534000,2,Yellow,2018r11r
0 days 00:14:54.676000,1,AllClear,2018r11r
0 days 00:14:55.424000,2,Yellow,2018r11r
0 days 00:17:32.340000,1,AllClear,2018r11r
0 days 00:21:00.464000,2,Yellow,2018r11r
0 days 00:21:02.731000,1,AllClear,2018r11r
0 days 00:41:39.694000,2,Yellow,2018r11r
0 days 00:41:54.199000,1,AllClear,2018r11r
0 days 00:42:09.798000,2,Yellow,2018r11r
0 days 00:43:06.320000,1,AllClear,2018r11r
0 days 00:44:01.324000,2,Yellow,2018r11r
0 days 00:44:59.666000,6,VSCDeployed,2018r11r
0 days 00:49:00.615000,4,SCDeployed,2018r11r
0 days 00:57:11.990000,1,AllClear,2018r11r
0 days 00:14:47.534000,2,Yellow,2018r12r
0 days 00:14:54.676000,1,AllClear,2018r12r
0 days 00:14:55.424000,2,Yellow,2018r12r
0 days 00:17:32.340000,1,AllClear,2018r12r
0 days 00:21:00.464000,2,Yellow,2018r12r
0 days 00:21:02.731000,1,AllClear,2018r12r
0 days 00:41:39.694000,2,Yellow,2018r12r
0 days 00:41:54.199000,1,AllClear,2018r12r
0 days 00:42:09.798000,2,Yellow,2018r12r
0 days 00:43:06.320000,1,AllClear,2018r12r
0 days 00:44:01.324000,2,Yellow,2018r12r
0 days 00:44:59.666000,6,VSCDeployed,2018r12r
0 days 00:49:00.615000,4,SCDeployed,2018r12r
0 days 00:57:11.990000,1,AllClear,2018r12r
0 days 00:14:47.534000,2,Yellow,2018r13r
0 days 00:14:54.676000,1,AllClear,2018r13r
0 days 00:14:55.424000,2,Yellow,2018r13r
0 days 00:17:32.340000,1,AllClear,2018r13r
0 days 00:21:00.464000,2,Yellow,2018r13r
0 days 00:21:02.731000,1,AllClear,2018r13r
0 days 00:41:39.694000,2,Yellow,2018r13r
0 days 00:41:54.199000,1,AllClear,2018r13r
0 days 00:42:09.798000,2,Yellow,2018r13r
0 days 00:43:06.320000,1,AllClear,2018r13r
0 days 00:44:01.324000,2,Yellow,2018r13r
0 days 00:44:59.666000,6,VSCDeployed,2018r13r
0 days 00:49:00.615000,4,SCDeployed,2018r13r
0 days 00:57:11.990000,1,AllClear,2018r13r
0 days 00:14:47.534000,2,Yellow,2018r14r
0 days 00:14:54.676000,1,AllClear,2018r14r
0 days 00:14:55.424000,2,Yellow,2018r14r
0 days 00:17:32.340000,1,AllClear,2018r14r
0 days 00:21:00.464000,2,Yellow,2018r14r
0 days 00:21:02.731000,1,AllClear,2018r14r
0 days 00:41:39.694000,2,Yellow,2018r14r
0 days 00:41:54.199000,1,AllClear,2018r14r
0 days 00:42:09.798000,2,Yellow,2018r14r
0 days 00:43:06.320000,1,AllClear,2018r14r
0 days 00:44:01.324000,2,Yellow,2018r14r
0 days 00:44:59.666000,6,VSCDeployed,2018r14r
0 days 00:49:00.615000,4,SCDeployed,2018r14r
0 days 00:57:11.990000,1,AllClear,2018r14r
0 days 00:14:47.534000,2,Yellow,2018r15r
0 days 00:14:54.676000,1,AllClear,2018r15r
0 days 00:14:55.424000,2,Yellow,2018r15r
0 days 00:17:32.340000,1,AllClear,2018r15r
0 days 00:21:00.464000,2,Yellow,2018r15r
0 days 00:21:02.731000,1,AllClear,2018r15r
0 days 00:41:39.694000,2,Yellow,2018r15r
0 days 00:41:54.199000,1,AllClear,2018r15r
0 days 00:42:09.798000,2,Yellow,2018r15r
0 days 00:43:06.320000,1,AllClear,2018r15r
0 days 00:44:01.324000,2,Yellow,2018r15r
0 days 00:44:59.666000,6,VSCDeployed,2018r15r
0 days 00:49:00.615000,4,SCDeployed,2018r15r
0 days 00:57:11.990000,1,AllClear,2018r15r
0 days 00:14:47.534000,2,Yellow,2018r16r
0 days 00:14:54.676000,1,AllClear,2018r16r
0 days 00:14:55.424000,2,Yellow,2018r16r
0 days 00:17:32.340000,1,AllClear,2018r16r
0 days 00:21:00.464000,2,Yellow,2018r16r
0 days 00:21:02.731000,1,AllClear,2018r16r
0 days 00:41:39.694000,2,Yellow,2018r16r
0 days 00:41:54.199000,1,AllClear,2018r16r
0 days 00:42:09.798000,2,Yellow,2018r16r
0 days 00:43:06.320000,1,AllClear,2018r16r
