Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:40.909000,SAR,2,0 days 00:01:37.689000,1.0,1.0,0 days 00:14:32.548000,,,0 days 00:00:44.183000,0 days 00:00:21.567000,,0 days 01:03:19.465000,0 days 01:03:40.886000,158.0,177.0,258.0,249.0,False,MEDIUM,1.0,True,Williams,0 days 01:02:02.950000,2023-05-28 13:03:03.927,2,15.0,False,,False,False
0 days 01:05:00.567000,SAR,2,0 days 00:01:19.658000,2.0,1.0,,,0 days 00:00:21.209000,0 days 00:00:37.307000,0 days 00:00:21.142000,0 days 01:04:02.095000,0 days 01:04:39.402000,0 days 01:05:00.544000,184.0,181.0,261.0,286.0,True,MEDIUM,2.0,True,Williams,0 days 01:03:40.909000,2023-05-28 13:04:41.886,1,15.0,False,,False,True
0 days 01:06:20.786000,SAR,2,0 days 00:01:20.219000,3.0,1.0,,,0 days 00:00:21.279000,0 days 00:00:37.588000,0 days 00:00:21.352000,0 days 01:05:21.823000,0 days 01:05:59.411000,0 days 01:06:20.763000,181.0,180.0,267.0,284.0,False,MEDIUM,3.0,True,Williams,0 days 01:05:00.567000,2023-05-28 13:06:01.544,1,15.0,False,,False,True
0 days 01:07:41.032000,SAR,2,0 days 00:01:20.246000,4.0,1.0,,,0 days 00:00:21.243000,0 days 00:00:37.688000,0 days 00:00:21.315000,0 days 01:06:42.006000,0 days 01:07:19.694000,0 days 01:07:41.009000,174.0,181.0,268.0,284.0,False,MEDIUM,4.0,True,Williams,0 days 01:06:20.786000,2023-05-28 13:07:21.763,1,15.0,False,,False,True
0 days 01:09:01.246000,SAR,2,0 days 00:01:20.214000,5.0,1.0,,,0 days 00:00:21.315000,0 days 00:00:37.650000,0 days 00:00:21.249000,0 days 01:08:02.324000,0 days 01:08:39.974000,0 days 01:09:01.223000,177.0,178.0,267.0,284.0,False,MEDIUM,5.0,True,Williams,0 days 01:07:41.032000,2023-05-28 13:08:42.009,1,15.0,False,,False,True
0 days 01:10:20.558000,SAR,2,0 days 00:01:19.312000,6.0,1.0,,,0 days 00:00:20.965000,0 days 00:00:37.272000,0 days 00:00:21.075000,0 days 01:09:22.188000,0 days 01:09:59.460000,0 days 01:10:20.535000,184.0,181.0,265.0,284.0,True,MEDIUM,6.0,True,Williams,0 days 01:09:01.246000,2023-05-28 13:10:02.223,1,15.0,False,,False,True
0 days 01:11:39.797000,SAR,2,0 days 00:01:19.239000,7.0,1.0,,,0 days 00:00:20.906000,0 days 00:00:37.228000,0 days 00:00:21.105000,0 days 01:10:41.441000,0 days 01:11:18.669000,0 days 01:11:39.774000,183.0,184.0,265.0,284.0,True,MEDIUM,7.0,True,Williams,0 days 01:10:20.558000,2023-05-28 13:11:21.535,1,15.0,False,,False,True
0 days 01:12:58.744000,SAR,2,0 days 00:01:18.947000,8.0,1.0,,,0 days 00:00:20.916000,0 days 00:00:37.061000,0 days 00:00:20.970000,0 days 01:12:00.690000,0 days 01:12:37.751000,0 days 01:12:58.721000,191.0,183.0,266.0,284.0,True,MEDIUM,8.0,True,Williams,0 days 01:11:39.797000,2023-05-28 13:12:40.774,1,15.0,False,,False,True
0 days 01:14:18.273000,SAR,2,0 days 00:01:19.529000,9.0,1.0,,,0 days 00:00:20.967000,0 days 00:00:37.227000,0 days 00:00:21.335000,0 days 01:13:19.688000,0 days 01:13:56.915000,0 days 01:14:18.250000,190.0,183.0,259.0,283.0,False,MEDIUM,9.0,True,Williams,0 days 01:12:58.744000,2023-05-28 13:13:59.721,1,15.0,False,,False,True
0 days 01:15:38.607000,SAR,2,0 days 00:01:20.334000,10.0,1.0,,,0 days 00:00:21.155000,0 days 00:00:37.753000,0 days 00:00:21.426000,0 days 01:14:39.405000,0 days 01:15:17.158000,0 days 01:15:38.584000,182.0,181.0,257.0,282.0,False,MEDIUM,10.0,True,Williams,0 days 01:14:18.273000,2023-05-28 13:15:19.250,1,15.0,False,,False,True
0 days 01:16:58.696000,SAR,2,0 days 00:01:20.089000,11.0,1.0,,,0 days 00:00:21.219000,0 days 00:00:37.432000,0 days 00:00:21.438000,0 days 01:15:59.803000,0 days 01:16:37.235000,0 days 01:16:58.673000,187.0,180.0,256.0,281.0,False,MEDIUM,11.0,True,Williams,0 days 01:15:38.607000,2023-05-28 13:16:39.584,2,15.0,False,,False,True
0 days 01:18:19.334000,SAR,2,0 days 00:01:20.638000,12.0,1.0,,,0 days 00:00:21.454000,0 days 00:00:37.515000,0 days 00:00:21.669000,0 days 01:17:20.127000,0 days 01:17:57.642000,0 days 01:18:19.311000,191.0,180.0,256.0,281.0,False,MEDIUM,12.0,True,Williams,0 days 01:16:58.696000,2023-05-28 13:17:59.673,2,15.0,False,,False,True
0 days 01:19:40.036000,SAR,2,0 days 00:01:20.702000,13.0,1.0,,,0 days 00:00:21.407000,0 days 00:00:37.698000,0 days 00:00:21.597000,0 days 01:18:40.718000,0 days 01:19:18.416000,0 days 01:19:40.013000,189.0,177.0,258.0,281.0,False,MEDIUM,13.0,True,Williams,0 days 01:18:19.334000,2023-05-28 13:19:20.311,1,15.0,False,,False,True
0 days 01:21:00.354000,SAR,2,0 days 00:01:20.318000,14.0,1.0,,,0 days 00:00:21.096000,0 days 00:00:37.875000,0 days 00:00:21.347000,0 days 01:20:01.109000,0 days 01:20:38.984000,0 days 01:21:00.331000,192.0,181.0,256.0,280.0,False,MEDIUM,14.0,True,Williams,0 days 01:19:40.036000,2023-05-28 13:20:41.013,2,15.0,False,,False,True
