,raceId,year,round,weather
0,1,2009,1,Sunny with temperatures reaching up to 27 °C (81 °F)[2]
1,2,2009,2,"Dry start, with heavy rain and thunderstorm/monsoon later"
2,3,2009,3,Rain
3,4,2009,4,Sunny
4,5,2009,5,"Warm, Sunny"
5,6,2009,6,Sunny
6,7,2009,7,Sunny
7,8,2009,8,"Dry, overcast"
8,9,2009,9,Sunny and overcast
9,10,2009,10,Sunny25 °C (77 °F)[3]
10,11,2009,11,Hot and dry with temperatures reaching up to 33 °C (91 °F)[1]
11,12,2009,12,Clear but Mild
12,13,2009,13,Mainly sunny
13,14,2009,14,Hot and Dry
14,15,2009,15,"Sunny, Dry"
15,16,2009,16,Partially cloudy and dry
16,17,2009,17,Dry
17,18,2008,1,"Clear, dry, air temperature of 39 °C (102 °F)."
18,19,2008,2,"Sunny, partly cloudy"
19,20,2008,3,Dry
20,21,2008,4,Sunny
21,22,2008,5,Sunny with temperatures reaching up to 17 °C (63 °F)[3]
22,23,2008,6,"Wet, drying later."
23,24,2008,7,Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph)[1]
24,25,2008,8,Dry at first; light rain in the final stages
25,26,2008,9,"Rain, later drying"
26,27,2008,10,"Cloudy, later sunny[1]"
27,28,2008,11,"Sunny; Air 30–31 °C (86–88 °F), Track 40–43 °C (104–109 °F)"
28,29,2008,12,Sunny
29,30,2008,13,"Cloudy, rain in last 3 laps"
30,31,2008,14,"Heavy rain, dry towards the end"
31,32,2008,15,"Dry, Air Temp: 28 °C (82 °F), Wind Speed: 2.2 metres per second (7.2 ft/s), Humidity: 79%"
32,33,2008,16,Cloudy with temperatures reaching up to 17 °C (63 °F)[4]
33,34,2008,17,Dry
34,35,2008,18,"Rain at beginning and end, otherwise drying"
35,36,2007,1,Clear with temperatures reaching up to 21 °C (70 °F)[1]
36,37,2007,2,Sunny[1]
37,38,2007,3,"Sunny, dry, windy"
38,39,2007,4,Sunny and warm
39,40,2007,5,"Cloudy, air temp 24–27 °C (75–81 °F), track temp 33–42 °C (91–108 °F)"
40,41,2007,6,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph)[1]
41,42,2007,7,Warm (33C/91F) and clear
42,43,2007,8,Cloudy
43,44,2007,9,Dry and sunny
44,45,2007,10,Heavy Rain on Lap 1. Drying track at restart. Light Rain before the finish.
45,46,2007,11,"Sunny, temperatures reaching up to 27 °C (81 °F)[4]"
46,47,2007,12,Sunny
47,48,2007,13,Sunny
48,49,2007,14,"Partly cloudy, mild and dry"
49,50,2007,15,Very heavy rain
50,51,2007,16,Intermittent light rain
51,52,2007,17,"37 °C (Air), 63 °C (Track)"
52,53,2006,1,"Fine, Dry and HotAir Temp 23 °C (73 °F)[1]Track Temp 40 °C (104 °F)[1] dropping to 34 °C (93 °F)"
53,54,2006,2,"Fine, Air Temp: 33°C, Wind Speed: 1.5 m/s, Humidity: 61%"
54,55,2006,3,Cloudy with sunny breaks. Air temperature 20°C
55,56,2006,4,Sunny
56,57,2006,5,not found
57,58,2006,6,Sunny
58,59,2006,7,Fine
59,60,2006,8,Sunny
